"","state","county","fips_code","location","area_in_sq_mi","population","housing_units","households","ppl_below_150_percent_poverty","bipoc_residents","households_with_no_vehicle","percent_of_overcrowded_housing_units","people_25_w_o_high_school_diploma","perc_below_150_percent_poverty","perc_bipoc_residents","perc_w_o_high_school_diploma","perc_hh_no_vehicle","overcrowded_housing_units"
"88","North Carolina","Wake County","37183053208","Census Tract 532.08; Wake County; North Carolina",17.48263485,13809,4308,4146,630,3994,0,1.2,156,0.0456224201607647,0.289231660511261,0.0112969802302846,0,5169.6
"89","North Carolina","Wake County","37183053209","Census Tract 532.09; Wake County; North Carolina",23.16503119,2458,986,874,180,413,0,0,116,0.0732302685109845,0.168022782750203,0.0471928397070789,0,0
"90","North Carolina","Wake County","37183053210","Census Tract 532.10; Wake County; North Carolina",4.906950241,5856,1880,1880,112,1290,27,6.2,140,0.0191256830601093,0.220286885245902,0.0239071038251366,0.0143617021276596,11656
"91","North Carolina","Wake County","37183053211","Census Tract 532.11; Wake County; North Carolina",5.395124482,8062,2393,2393,198,1028,101,0,46,0.0245596626147358,0.127511783676507,0.00570578020342347,0.0422064354366903,0
"92","North Carolina","Wake County","37183053405","Census Tract 534.05; Wake County; North Carolina",3.061933262,4591,2148,2009,428,951,195,0.5,108,0.0932258767153126,0.207144412981921,0.0235242866477892,0.0970632155301145,1074
"93","North Carolina","Wake County","37183053408","Census Tract 534.08; Wake County; North Carolina",1.066530713,4024,1264,1229,306,1818,9,1.5,63,0.0760437375745527,0.451789264413519,0.0156560636182903,0.00732302685109845,1896
"94","North Carolina","Wake County","37183053409","Census Tract 534.09; Wake County; North Carolina",2.18037282,6948,2384,2310,181,2768,0,0,115,0.0260506620610248,0.398388025331031,0.0165515256188831,0,0
"95","North Carolina","Wake County","37183053410","Census Tract 534.10; Wake County; North Carolina",1.767724377,6296,2075,2032,361,3360,61,0,116,0.0573379923761118,0.533672172808132,0.0184243964421855,0.0300196850393701,0
"96","North Carolina","Wake County","37183053411","Census Tract 534.11; Wake County; North Carolina",7.553425782,14778,4546,4334,819,8380,126,2.6,623,0.0554202192448234,0.56705914196779,0.0421572607930708,0.0290724503922473,11819.6
"97","North Carolina","Wake County","37183053415","Census Tract 534.15; Wake County; North Carolina",1.832624649,5065,1888,1712,388,2234,63,2.1,127,0.076604146100691,0.44106614017769,0.0250740375123396,0.0367990654205607,3964.8
"98","North Carolina","Wake County","37183053417","Census Tract 534.17; Wake County; North Carolina",3.611194631,5031,2111,1970,1068,1603,190,3.2,54,0.212283840190817,0.318624527926854,0.0107334525939177,0.0964467005076142,6755.2
"99","North Carolina","Wake County","37183053419","Census Tract 534.19; Wake County; North Carolina",1.896035339,3891,1168,1134,86,1462,0,0.7,18,0.0221022873297353,0.3757388846055,0.0046260601387818,0,817.6
"100","North Carolina","Wake County","37183053421","Census Tract 534.21; Wake County; North Carolina",2.682081481,5368,2102,1944,408,1689,16,1.1,112,0.0760059612518629,0.314642324888227,0.0208643815201192,0.00823045267489712,2312.2
"101","North Carolina","Wake County","37183053422","Census Tract 534.22; Wake County; North Carolina",0.594220244,2288,765,730,41,499,8,3.6,7,0.0179195804195804,0.218094405594406,0.00305944055944056,0.010958904109589,2754
"102","North Carolina","Wake County","37183053423","Census Tract 534.23; Wake County; North Carolina",0.614824192,1968,978,919,149,385,19,2.2,0,0.0757113821138211,0.195630081300813,0,0.0206746463547334,2151.6
"103","North Carolina","Wake County","37183053424","Census Tract 534.24; Wake County; North Carolina",1.249256573,4950,1636,1585,149,1804,21,0.5,12,0.0301010101010101,0.364444444444444,0.00242424242424242,0.0132492113564669,818
"104","North Carolina","Wake County","37183053425","Census Tract 534.25; Wake County; North Carolina",0.790870873,3265,1166,1087,36,1848,15,3.1,8,0.0110260336906585,0.566003062787136,0.00245022970903522,0.0137994480220791,3614.6
"105","North Carolina","Wake County","37183053426","Census Tract 534.26; Wake County; North Carolina",7.738538525,6618,2192,2037,785,4778,74,0.8,72,0.1186158960411,0.721970383801753,0.0108794197642792,0.0363279332351497,1753.6
"106","North Carolina","Wake County","37183053427","Census Tract 534.27; Wake County; North Carolina",2.945504976,5426,1989,1803,347,1699,11,3.4,33,0.0639513453741246,0.313122005160339,0.00608182823442683,0.00610094287298946,6762.6
"107","North Carolina","Wake County","37183053428","Census Tract 534.28; Wake County; North Carolina",17.96433957,13657,4420,4341,618,4704,62,0.5,159,0.0452515193673574,0.344438749359303,0.011642381196456,0.0142824234047454,2210
"108","North Carolina","Wake County","37183053429","Census Tract 534.29; Wake County; North Carolina",1.33405963,2717,1349,1222,260,543,0,0,0,0.0956937799043062,0.199852778800147,0,0,0
"109","North Carolina","Wake County","37183053430","Census Tract 534.30; Wake County; North Carolina",1.614064276,4658,1748,1683,452,1837,39,3.9,94,0.0970373550880206,0.394375268355517,0.0201803349076857,0.0231729055258467,6817.2
"110","North Carolina","Wake County","37183053431","Census Tract 534.31; Wake County; North Carolina",4.510340089,4922,1829,1658,744,2256,79,4.7,363,0.1511580658269,0.458350264120276,0.0737505079236083,0.0476477683956574,8596.3
"111","North Carolina","Wake County","37183053432","Census Tract 534.32; Wake County; North Carolina",6.8183563,2880,942,942,219,781,7,4.1,113,0.0760416666666667,0.271180555555556,0.0392361111111111,0.00743099787685775,3862.2
"112","North Carolina","Wake County","37183053433","Census Tract 534.33; Wake County; North Carolina",1.270948556,5930,2098,2080,275,438,9,0,0,0.0463743676222597,0.0738617200674536,0,0.00432692307692308,0
"113","North Carolina","Wake County","37183053434","Census Tract 534.34; Wake County; North Carolina",1.067786703,4580,1628,1585,396,1714,34,1.1,192,0.0864628820960699,0.374235807860262,0.0419213973799127,0.0214511041009464,1790.8
"114","North Carolina","Wake County","37183053435","Census Tract 534.35; Wake County; North Carolina",1.16846473,4214,1850,1850,123,1067,36,3.7,49,0.0291884195538681,0.253203607024205,0.0116279069767442,0.0194594594594595,6845
"115","North Carolina","Wake County","37183053436","Census Tract 534.36; Wake County; North Carolina",1.416010938,3294,1651,1373,141,980,0,3,64,0.0428051001821494,0.297510625379478,0.0194292653309047,0,4953
"116","North Carolina","Wake County","37183053505","Census Tract 535.05; Wake County; North Carolina",1.588903167,3162,1434,1314,294,587,16,0.5,45,0.0929791271347249,0.185641998734978,0.0142314990512334,0.0121765601217656,717
"117","North Carolina","Wake County","37183053506","Census Tract 535.06; Wake County; North Carolina",2.288638138,5981,2579,2481,566,1214,177,1.2,214,0.0946330045142953,0.20297609095469,0.0357799699046982,0.0713422007255139,3094.8
"118","North Carolina","Wake County","37183053507","Census Tract 535.07; Wake County; North Carolina",1.112531291,3718,1785,1760,457,1116,193,0.7,152,0.122915545992469,0.300161377084454,0.0408821947283486,0.109659090909091,1249.5
"119","North Carolina","Wake County","37183053509","Census Tract 535.09; Wake County; North Carolina",2.548490189,5699,2024,2024,213,1493,19,0.5,25,0.0373749780663274,0.261975785225478,0.00438673451482716,0.00938735177865613,1012
"120","North Carolina","Wake County","37183053512","Census Tract 535.12; Wake County; North Carolina",3.512417385,7106,3855,3423,220,2036,56,0.6,41,0.0309597523219814,0.286518435125246,0.00576977202364199,0.016359918200409,2313
"121","North Carolina","Wake County","37183053513","Census Tract 535.13; Wake County; North Carolina",0.975267397,4161,2038,1690,521,2282,83,5.3,277,0.125210285988945,0.548425859168469,0.0665705359288633,0.049112426035503,10801.4
"122","North Carolina","Wake County","37183053516","Census Tract 535.16; Wake County; North Carolina",1.016352511,3501,1640,1489,571,1314,74,2.4,87,0.163096258211939,0.375321336760925,0.0248500428449015,0.0496977837474815,3936
"123","North Carolina","Wake County","37183053517","Census Tract 535.17; Wake County; North Carolina",1.578420497,4583,1706,1583,1008,2719,56,7.5,501,0.219943268601353,0.593279511237181,0.109317041239363,0.0353758686039166,12795
"124","North Carolina","Wake County","37183053518","Census Tract 535.18; Wake County; North Carolina",1.083370166,4164,1809,1702,410,666,12,0.7,137,0.0984630163304515,0.159942363112392,0.0329010566762728,0.00705052878965922,1266.3
"125","North Carolina","Wake County","37183053519","Census Tract 535.19; Wake County; North Carolina",0.798577855,3506,1882,1545,811,1510,106,1,184,0.231317741015402,0.430690245293782,0.0524814603536794,0.0686084142394822,1882
"126","North Carolina","Wake County","37183053520","Census Tract 535.20; Wake County; North Carolina",1.336177014,6329,2873,2690,1093,2366,95,3.9,120,0.172697108547954,0.373834729025122,0.0189603412861431,0.0353159851301115,11204.7
"127","North Carolina","Wake County","37183053521","Census Tract 535.21; Wake County; North Carolina",4.241851708,3884,1596,1573,558,1120,0,1.8,107,0.143666323377961,0.288362512873326,0.0275489186405767,0,2872.8
"128","North Carolina","Wake County","37183053522","Census Tract 535.22; Wake County; North Carolina",2.393579503,7699,4000,3293,315,3605,121,3.3,29,0.0409144044681127,0.468242628912846,0.0037667229510326,0.0367446097783176,13200
"129","North Carolina","Wake County","37183053523","Census Tract 535.23; Wake County; North Carolina",2.090436537,5891,2439,2171,763,2353,30,1.9,74,0.129519606178917,0.399422848412833,0.01256153454422,0.0138185168125288,4634.1
"130","North Carolina","Wake County","37183053524","Census Tract 535.24; Wake County; North Carolina",0.936447157576,3611,1861,1787,404,1373,67,0,102,0.111880365549709,0.380227083910274,0.0282470229853226,0.0374930050363738,0
"131","North Carolina","Wake County","37183053525","Census Tract 535.25; Wake County; North Carolina",0.982558933,3586,1415,1392,265,1102,8,0.6,62,0.0738984941438929,0.307306190741774,0.0172894590072504,0.00574712643678161,849
"132","North Carolina","Wake County","37183053603","Census Tract 536.03; Wake County; North Carolina",1.791973514,4847,1685,1601,183,2296,36,0,68,0.0377553125644729,0.473695069114916,0.0140292964720446,0.0224859462835728,0
"133","North Carolina","Wake County","37183053604","Census Tract 536.04; Wake County; North Carolina",1.247035715,4369,1612,1589,171,2035,23,1.8,39,0.0391393911650263,0.465781643396658,0.00892652780956741,0.0144745122718691,2901.6
"134","North Carolina","Wake County","37183053608","Census Tract 536.08; Wake County; North Carolina",2.397257511,8647,3130,2984,652,6163,74,1.1,169,0.0754018734821325,0.712732739678501,0.0195443506418411,0.024798927613941,3443
"135","North Carolina","Wake County","37183053609","Census Tract 536.09; Wake County; North Carolina",5.82383361,1699,836,672,299,1178,23,7,108,0.175985874043555,0.693349028840494,0.0635668040023543,0.0342261904761905,5852
"136","North Carolina","Wake County","37183053611","Census Tract 536.11; Wake County; North Carolina",1.405310507,7344,2658,2571,269,4799,79,6.2,253,0.0366285403050109,0.653458605664488,0.0344498910675381,0.0307273434461299,16479.6
"137","North Carolina","Wake County","37183053612","Census Tract 536.12; Wake County; North Carolina",0.948492768,3089,1179,1005,202,2281,5,6.7,0,0.0653933311751376,0.73842667529945,0,0.00497512437810945,7899.3
"138","North Carolina","Wake County","37183053613","Census Tract 536.13; Wake County; North Carolina",1.534133826,4054,2364,2200,455,1263,161,3.4,32,0.112234829797731,0.311544153922052,0.00789343857918106,0.0731818181818182,8037.6
"139","North Carolina","Wake County","37183053614","Census Tract 536.14; Wake County; North Carolina",0.951554557,2909,1179,1112,172,800,59,0,28,0.0591268477139911,0.275008594018563,0.00962530079064971,0.0530575539568345,0
"140","North Carolina","Wake County","37183053615","Census Tract 536.15; Wake County; North Carolina",1.90398402,4454,2567,2382,395,2604,59,1.2,69,0.0886843286933094,0.584643017512348,0.0154916928603502,0.0247691015952981,3080.4
"141","North Carolina","Wake County","37183053616","Census Tract 536.16; Wake County; North Carolina",1.562989159,5002,2412,2211,580,2131,118,1.6,44,0.115953618552579,0.426029588164734,0.00879648140743703,0.0533695160560832,3859.2
"142","North Carolina","Wake County","37183053617","Census Tract 536.17; Wake County; North Carolina",2.590750984,10650,3862,3752,1292,5658,0,0.4,83,0.12131455399061,0.531267605633803,0.00779342723004695,0,1544.8
"143","North Carolina","Wake County","37183053618","Census Tract 536.18; Wake County; North Carolina",1.459759384,4390,2073,1824,197,3594,26,4.2,0,0.044874715261959,0.818678815489749,0,0.0142543859649123,8706.6
"144","North Carolina","Wake County","37183053619","Census Tract 536.19; Wake County; North Carolina",2.159632579,622,328,282,60,455,4,18.8,7,0.0964630225080386,0.731511254019293,0.0112540192926045,0.0141843971631206,6166.4
"145","North Carolina","Wake County","37183053620","Census Tract 536.20; Wake County; North Carolina",2.533177384,7552,2581,2542,384,5199,0,3.5,309,0.0508474576271186,0.688426906779661,0.040916313559322,0,9033.5
"146","North Carolina","Wake County","37183053711","Census Tract 537.11; Wake County; North Carolina",2.024543984,4603,2065,1809,135,890,0,0,47,0.0293286986747773,0.193352161633717,0.0102107321312188,0,0
"147","North Carolina","Wake County","37183053712","Census Tract 537.12; Wake County; North Carolina",1.290600375,3039,1280,1201,77,274,0,0,137,0.0253372820006581,0.0901612372490951,0.0450806186245475,0,0
"148","North Carolina","Wake County","37183053713","Census Tract 537.13; Wake County; North Carolina",0.534154742,3224,2176,1781,599,1211,13,1,41,0.185794044665012,0.375620347394541,0.0127171215880893,0.0072992700729927,2176
"149","North Carolina","Wake County","37183053714","Census Tract 537.14; Wake County; North Carolina",1.374388757,5231,2595,2265,427,1375,71,0,117,0.0816287516727203,0.262856050468362,0.0223666602943988,0.0313465783664459,0
"150","North Carolina","Wake County","37183053715","Census Tract 537.15; Wake County; North Carolina",1.269876737,3481,1627,1466,482,493,7,0.4,21,0.138465958058029,0.14162596954898,0.00603274920999713,0.00477489768076398,650.8
"151","North Carolina","Wake County","37183053716","Census Tract 537.16; Wake County; North Carolina",1.231831404,4803,2190,2053,897,1630,56,0.8,324,0.186758276077452,0.339371226316885,0.0674578388507183,0.0272771553823673,1752
"152","North Carolina","Wake County","37183053717","Census Tract 537.17; Wake County; North Carolina",2.637415271,3731,2666,2251,360,1669,105,0,141,0.0964888769766819,0.447333154650228,0.0377914768158671,0.0466459351399378,0
"153","North Carolina","Wake County","37183053718","Census Tract 537.18; Wake County; North Carolina",1.17023462129,3196,1136,1136,147,699,0,0,38,0.0459949937421777,0.218710888610763,0.0118898623279099,0,0
"154","North Carolina","Wake County","37183053719","Census Tract 537.19; Wake County; North Carolina",0.776538767154,4169,1386,1378,79,728,0,0.5,33,0.0189493883425282,0.174622211561526,0.0079155672823219,0,693
"155","North Carolina","Wake County","37183053720","Census Tract 537.20; Wake County; North Carolina",4.148600739,4405,1604,1552,117,378,13,0,11,0.0265607264472191,0.0858115777525539,0.00249716231555051,0.00837628865979381,0
"156","North Carolina","Wake County","37183053721","Census Tract 537.21; Wake County; North Carolina",4.619941705,3805,1381,1381,77,448,19,0,39,0.0202365308804205,0.117739816031537,0.0102496714848883,0.0137581462708182,0
"157","North Carolina","Wake County","37183053722","Census Tract 537.22; Wake County; North Carolina",1.207940184,5096,2516,2436,525,590,202,0,34,0.103021978021978,0.115777080062794,0.00667189952904239,0.0829228243021346,0
"158","North Carolina","Wake County","37183053723","Census Tract 537.23; Wake County; North Carolina",0.978970501346,3582,1917,1685,369,868,74,2,309,0.103015075376884,0.242322724734785,0.0862646566164154,0.0439169139465875,3834
"159","North Carolina","Wake County","37183053724","Census Tract 537.24; Wake County; North Carolina",2.263860042046,5279,2490,2183,361,1400,111,0,65,0.0683841636673612,0.26520174275431,0.0123129380564501,0.0508474576271186,0
"160","North Carolina","Wake County","37183053725","Census Tract 537.25; Wake County; North Carolina",1.624130341,5380,2566,2243,529,1379,34,0,11,0.0983271375464684,0.25631970260223,0.00204460966542751,0.0151582701738743,0
"161","North Carolina","Wake County","37183053726","Census Tract 537.26; Wake County; North Carolina",0.882271642,3344,1659,1451,539,1422,0,3.6,67,0.161184210526316,0.425239234449761,0.0200358851674641,0,5972.4
"162","North Carolina","Wake County","37183053727","Census Tract 537.27; Wake County; North Carolina",2.175077432,5289,2547,2304,446,2144,162,0,198,0.0843259595386652,0.4053696350917,0.0374361883153715,0.0703125,0
"163","North Carolina","Wake County","37183053728","Census Tract 537.28; Wake County; North Carolina",0.470722045,2696,1753,1496,382,1278,167,5.7,279,0.141691394658754,0.474035608308605,0.103486646884273,0.111631016042781,9992.1
"164","North Carolina","Wake County","37183053729","Census Tract 537.29; Wake County; North Carolina",1.345015275,4758,2096,1958,374,728,36,1.1,20,0.078604455653636,0.153005464480874,0.00420344682639765,0.0183861082737487,2305.6
"165","North Carolina","Wake County","37183053730","Census Tract 537.30; Wake County; North Carolina",0.311035277,2879,1428,1270,847,1552,11,6,96,0.294199374782911,0.539076068079194,0.033344911427579,0.00866141732283465,8568
"166","North Carolina","Wake County","37183053803","Census Tract 538.03; Wake County; North Carolina",4.58753655,4122,1453,1397,99,459,0,0,0,0.0240174672489083,0.111353711790393,0,0,0
"167","North Carolina","Wake County","37183053804","Census Tract 538.04; Wake County; North Carolina",11.142346960916,3610,1460,1230,221,637,9,0,95,0.061218836565097,0.176454293628809,0.0263157894736842,0.00731707317073171,0
"168","North Carolina","Wake County","37183053805","Census Tract 538.05; Wake County; North Carolina",4.020667772,1838,799,733,165,142,6,0,28,0.0897714907508161,0.0772578890097933,0.015233949945593,0.00818553888130969,0
"169","North Carolina","Wake County","37183053806","Census Tract 538.06; Wake County; North Carolina",4.032557783,3077,1188,1114,94,277,17,0,2,0.0305492362690933,0.0900227494312642,0.00064998375040624,0.0152603231597846,0
"170","North Carolina","Wake County","37183053807","Census Tract 538.07; Wake County; North Carolina",3.611953708,4949,1891,1742,290,1383,19,0.4,119,0.0585976965043443,0.279450394018994,0.024045261669024,0.0109070034443169,756.4
"171","North Carolina","Wake County","37183053808","Census Tract 538.08; Wake County; North Carolina",7.798838004,5293,2027,1923,82,853,15,0,21,0.0154921594558851,0.161156244095976,0.00396750425089741,0.0078003120124805,0
"172","North Carolina","Wake County","37183053901","Census Tract 539.01; Wake County; North Carolina",10.80811506,4377,1573,1442,201,1000,4,0,58,0.04592186429061,0.228466986520448,0.013251085218186,0.00277392510402219,0
"173","North Carolina","Wake County","37183053902","Census Tract 539.02; Wake County; North Carolina",31.03630502,6018,2303,2223,485,1120,12,0.6,185,0.0805915586573613,0.186108341641741,0.0307411100033234,0.00539811066126856,1381.8
"174","North Carolina","Wake County","37183054001","Census Tract 540.01; Wake County; North Carolina",1.340365448,5446,3190,2673,618,1701,155,0,15,0.113477781858245,0.312339331619537,0.00275431509364671,0.0579872802095024,0
"175","North Carolina","Wake County","37183054004","Census Tract 540.04; Wake County; North Carolina",1.007149384,4596,2665,2298,614,1716,223,3,152,0.133594429939077,0.373368146214099,0.0330722367275892,0.0970409051348999,7995
"176","North Carolina","Wake County","37183054006","Census Tract 540.06; Wake County; North Carolina",0.852568814688,3320,1467,1287,857,1334,91,9.2,153,0.258132530120482,0.401807228915663,0.0460843373493976,0.0707070707070707,13496.4
"177","North Carolina","Wake County","37183054007","Census Tract 540.07; Wake County; North Carolina",1.304690782,4479,2365,2174,701,1365,41,2,122,0.156508149140433,0.304755525787006,0.0272382228175932,0.0188592456301748,4730
"178","North Carolina","Wake County","37183054008","Census Tract 540.08; Wake County; North Carolina",0.863289709,6593,3078,2583,1856,5112,208,13.3,453,0.281510693159412,0.775367814348552,0.0687092370696193,0.0805265195509098,40937.4
"179","North Carolina","Wake County","37183054011","Census Tract 540.11; Wake County; North Carolina",1.128246029,2774,1134,1100,83,223,0,0,32,0.0299206921413122,0.0803893294881038,0.0115356885364095,0,0
"180","North Carolina","Wake County","37183054012","Census Tract 540.12; Wake County; North Carolina",1.939096522,3747,1599,1562,121,581,9,0,64,0.0322925006672004,0.155057379236723,0.0170803309314118,0.0057618437900128,0
"181","North Carolina","Wake County","37183054015","Census Tract 540.15; Wake County; North Carolina",1.848609658,4721,2011,1842,1968,3199,85,7.3,136,0.416860834568947,0.6776106757043,0.0288074560474476,0.0461454940282302,14680.3
"182","North Carolina","Wake County","37183054016","Census Tract 540.16; Wake County; North Carolina",2.349357697,6764,2775,2674,367,1687,30,1.6,29,0.0542578356002365,0.249408633944412,0.00428740390301597,0.0112191473448018,4440
"183","North Carolina","Wake County","37183054017","Census Tract 540.17; Wake County; North Carolina",1.127161854,2882,1397,1222,313,1469,131,2.9,293,0.108605135322693,0.50971547536433,0.101665510062457,0.107201309328969,4051.3
"184","North Carolina","Wake County","37183054018","Census Tract 540.18; Wake County; North Carolina",2.065437977,4173,2055,1852,1103,3200,156,2.1,162,0.264318236280853,0.766834411694225,0.0388209920920201,0.0842332613390929,4315.5
"185","North Carolina","Wake County","37183054019","Census Tract 540.19; Wake County; North Carolina",1.493083075,4949,2126,1834,525,1131,26,1.7,177,0.106082036775106,0.228531016366943,0.0357648009698929,0.0141766630316249,3614.2
"186","North Carolina","Wake County","37183054020","Census Tract 540.20; Wake County; North Carolina",2.494167182,4446,2043,1878,440,1126,121,1.3,18,0.0989653621232569,0.253261358524516,0.00404858299595142,0.064430244941427,2655.9
"187","North Carolina","Wake County","37183054021","Census Tract 540.21; Wake County; North Carolina",0.757088107,2790,927,927,32,526,0,0,2,0.0114695340501792,0.188530465949821,0.000716845878136201,0,0
"188","North Carolina","Wake County","37183054022","Census Tract 540.22; Wake County; North Carolina",1.853600412,4815,1879,1765,1587,3708,37,4.1,254,0.329595015576324,0.770093457943925,0.0527518172377985,0.0209631728045326,7703.9
"189","North Carolina","Wake County","37183054023","Census Tract 540.23; Wake County; North Carolina",2.248956891,7319,3200,2826,792,5710,200,0,272,0.108211504303867,0.780161224210958,0.0371635469326411,0.0707714083510262,0
"190","North Carolina","Wake County","37183054106","Census Tract 541.06; Wake County; North Carolina",5.64251818,9076,3213,2972,1698,7394,201,4.7,1164,0.187086822388717,0.814676068752755,0.128250330542089,0.0676312247644684,15101.1
